source,target,Votes,CF_contribution,ED_purchaseValue,SP_value,AU_value,mentions
0x00000003cd3aa7e760877f03275621d2692f5841,0xff2f509668048d4fde4f40fedab3334ce104a39b,,1.0,,,,
0x000000064730640b7d670408d74280924883064f,0x04dcf5f5991f575aac67f2068a1392385a3080cb,,,,,,3.0
0x000000064730640b7d670408d74280924883064f,0x21532d4267648191bef7a33c813c43cf90a6fa78,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x648aa14e4424e0825a5ce739c8c68610e143fb79,,,,,,10.0
0x000000064730640b7d670408d74280924883064f,0x7ed52863829ab99354f3a0503a622e82acd5f7d3,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x87885aaeeded51c7e3858a782644f5d89759f245,,,,,,2.0
0x000000064730640b7d670408d74280924883064f,0x9c159121ceebf937e9bad98fd0c895d7f6038bd4,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0x9e64b47bbdb9c1f7b599f11987b84c416c0c4110,10.0,,,,,
0x000000064730640b7d670408d74280924883064f,0xb2ebc9b3a788afb1e942ed65b59e9e49a1ee500d,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xbc60aa031a9f34bd7992c99eae5e2c4dd1b5dbc3,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xe158dcc1779fce4c48c8d3155ec35fae7c52d093,,,,,,2.0
0x000000064730640b7d670408d74280924883064f,0xe7e84204b7e180454e5c40d0e04d346214a83f85,,,,,,1.0
0x000000064730640b7d670408d74280924883064f,0xebdb626c95a25f4e304336b1adcad0521a1bdca1,,,,,,26.0
0x000000064730640b7d670408d74280924883064f,0xf83775c95a00612d4cac5053dd484ffa81bae0ad,,,,,,1.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0x207053a23d86fe3697dc073461f293894a931a72,,,,,,3.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0x6875467e0714400a86504970d1b65a6f1be26856,5.0,,,,,1.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0xa9f19772051f88deb407d5431be8e0f608f9916a,,,,,,2.0
0x000eeb1cc42130aa8934756848a7cd713d8df818,0xf5aa3ceeb7219809bf9259ac5a0c29e32a26936e,15.0,,,,,
0x0040daac32d83c78546ae36da42a496b28ab09e1,0x612e8126b11f7d2596be800278ecf2515c85aa5b,,0.2,,,,
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0xabaf40768e575beb3244df2853a0505cb2d2e4bb,,,0.01,,,
0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,0xff2f509668048d4fde4f40fedab3334ce104a39b,,1.0,,,,
0x0052886567af035eb95573f36ecee43ba6453fc3,0x03e9206f2a1234fefad2c0b07a86b1e0f5cb8d0d,,,,,,2.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x19e86826048a3458becdd6b0459db22753861906,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x2a91d4ff6ad3bf749fd4950191c780fb20819425,,,,,,3.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x6ea4a3f77bbeeb35c859f442828358f9acb1f9c8,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0x8523d28df853d8a64b5187a458abd5d9b85fb89a,,,,,,1.0
0x0052886567af035eb95573f36ecee43ba6453fc3,0xadc05c3becb35d4c610f5ab157cf603528443391,,,,,,2.0
